地名,センター,ペットボトル,プラスチック容器包装類,埋立ごみ,有害ごみ,食用びん類,飲料用空缶類,金属類,紙類（資源ごみ）
相生,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
青井,リサイクル事務所,水4 ,水4 ,水4,水4,水4,水4,水4,水4
青葉,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
赤野,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
明富下,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
朝代,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
旭西,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
旭東,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
旭南,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
朝来新町,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
朝来中,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
朝来西町府営,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
朝来西宮,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
朝来八田,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
愛宕,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
愛宕新,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
愛宕中町,リサイクル事務所,火1 ,火1 ,火1,火1,火1,火1,火1,火1
愛宕前,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
アピスカワイ,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
アマデウスⅦ,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
余部合同宿舎,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
余部宿舎,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
余部宿舎A7,リサイクル事務所,月1 月3,月1 月3,月3,月3,月3,月3,月3,月3
荒田,リサイクル事務所,月3 ,月3 ,月3,月3,月3,月3,月3,月3
池ノ内下,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
伊佐津,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
伊佐津川荘苑,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
伊佐津北,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
伊佐津団地,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
伊佐津団地西,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
井尻西,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
井尻東,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
出雲,リサイクル事務所,月1 ,月1 ,月1,月1,月1,月1,月1,月1
市場青葉台,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
市場上,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
市場西,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
市場東,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
今田,リサイクル事務所,木3 ,木3 ,木3,木3,木3,木3,木3,木3
医療センター宿舎,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
上垣,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
上根,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
上安,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
上安東町,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
魚屋,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
魚屋大森,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
魚屋住吉,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
宇谷,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
駅東,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
駅前,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
エクセレント伊佐津,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
榎川上,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
榎川下,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
エルドラード三本木,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
円満寺,リサイクル事務所,月4 ,月4 ,月4,月4,月4,月4,月4,月4
大内,リサイクル事務所,木1 木3,木1 木3,木3,木3,木3,木3,木3,木3
大内野,リサイクル事務所,木1 木3,木1 木3,木3,木3,木3,木3,木3,木3
大内南,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
大川,リサイクル事務所,金4 ,金4 ,金4,金4,金4,金4,金4,金4
大君,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
大迫新町,リサイクル事務所,木2 ,木2 ,木2,木2,木2,木2,木2,木2
大迫団地,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
大田野,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
大丹生,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
大野辺,リサイクル事務所,水4 ,水4 ,水4,水4,水4,水4,水4,水4
大波上,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
大波下,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
大俣,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
大宮,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
大森,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
大森海岸,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
大門西,リサイクル事務所,月1 ,月1 ,月1,月1,月1,月1,月1,月1
大山,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
岡田由里,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
奥母,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
小倉,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
小倉新町,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
小倉西,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
小橋,リサイクル事務所,月2 ,月2 ,月2,月2,月2,月2,月2,月2
折原,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
小原,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
片山,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
片山新町,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
片山南,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
加津良,リサイクル事務所,月3 ,月3 ,月3,月3,月3,月3,月3,月3
金屋,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
蒲江,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
上安久,リサイクル事務所,水1 水3,水1 水3,水3,水3,水3,水3,水3,水3
上明富,リサイクル事務所,木2 木4,木2 木4,木2,木2,木2,木2,木2,木2
上漆原,リサイクル事務所,金2 金4,金2 金4,金4,金4,金4,金4,金4,金4
上九丁目,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
上東,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
上福井,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
上若宮,リサイクル事務所,火1 火3,火1 火3,火3,火3,火3,火3,火3,火3
上村,リサイクル事務所,木4 ,木4 ,木4,木4,木4,木4,木4,木4
亀岩,リサイクル事務所,金2 金4,金2 金4,金2,金2,金2,金2,金2,金2
川西,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
河辺中,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
河辺原,リサイクル事務所,月2 ,月2 ,月2,月2,月2,月2,月2,月2
河辺由里,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
鹿原,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
鹿原西,リサイクル事務所,木1 木3,木1 木3,木1,木1,木1,木1,木1,木1
観音寺,リサイクル事務所,月2 月4,月2 月4,月2,月2,月2,月2,月2,月2
岸谷,リサイクル事務所,火2 火4,火2 火4,火4,火4,火4,火4,火4,火4
